Generation,Mean_Fit,Master_Fit,Max_Fit,Flips,Flip_Rate,Threshold,Time
405,-534.0,-497.3,-82.1,82,4.92,19.5,4.07
406,-463.4,-432.1,-95.2,88,5.28,19.5,4.25
407,-462.9,-207.4,4.4,98,5.88,19.7,5.07
408,-443.6,-135.8,-87.2,95,5.70,19.8,3.76
409,-432.2,-251.2,-42.5,72,4.32,19.7,3.98
410,-441.9,-664.8,-123.0,80,4.80,19.6,3.78
411,-434.5,-183.4,-113.5,98,5.88,19.8,3.90
412,-427.4,-399.4,-33.3,92,5.52,19.9,3.72
413,-421.6,-323.9,-47.9,82,4.92,19.9,3.72
414,-408.9,-397.5,-58.9,92,5.52,20.0,3.56
415,-409.2,-758.0,-93.6,80,4.80,20.0,3.68
416,-416.3,-259.8,-35.1,84,5.04,20.0,4.00
417,-405.6,-391.7,-66.4,101,6.06,20.2,4.31
418,-392.2,-347.2,-89.4,94,5.64,20.3,4.22
419,-381.6,-256.5,-116.6,89,5.34,20.4,4.75
420,-385.8,-339.7,-81.4,71,4.26,20.2,5.56
421,-393.0,-210.1,-117.4,65,3.90,20.0,4.13
422,-391.4,-205.9,-92.4,82,4.92,20.0,6.19
423,-391.5,-450.2,-111.7,86,5.16,20.0,6.44
424,-411.0,-358.5,-73.1,81,4.86,20.0,7.53
425,-401.0,-297.4,-90.5,87,5.22,20.0,3.58
426,-416.0,-429.4,-73.3,83,4.98,20.0,5.23
427,-408.9,-379.4,-79.3,100,6.00,20.2,4.18
428,-414.7,-390.5,-62.5,72,4.32,20.1,3.77
429,-403.6,-408.0,-40.0,76,4.56,20.0,5.04
430,-416.8,-361.4,-27.1,83,4.98,20.0,4.56
431,-417.2,-260.4,-32.1,102,6.12,20.2,5.28
432,-406.7,-234.5,-46.5,81,4.86,20.2,4.16
433,-426.0,-366.3,17.8,81,4.86,20.2,5.59
434,-428.0,-263.9,-73.4,80,4.80,20.1,9.58
435,-428.2,-638.7,-48.4,78,4.68,20.0,5.15
436,-440.6,-404.6,-79.3,80,4.80,20.0,4.89
437,-436.6,-279.3,-74.8,81,4.86,20.0,4.01
438,-446.8,-549.2,-70.8,67,4.02,19.8,6.03
439,-454.1,-504.0,-59.3,91,5.46,19.9,4.73
