Starting PRIME Symbolic Regression...
Gen 1690 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.2 | Eq: INVALID
Gen 1700 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.6 | Eq: INVALID
Gen 1710 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.9 | Eq: INVALID
Gen 1720 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.3 | Eq: INVALID
Gen 1730 | Mean Fit:  -992.68 | Max Fit:   -38.08 | Flips:  2 | Thresh:  21.2 | Eq: INVALID
Gen 1740 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  20.3 | Eq: INVALID
Gen 1750 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  19.2 | Eq: INVALID
Gen 1760 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.2 | Eq: INVALID
Gen 1770 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.3 | Eq: INVALID
Gen 1780 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  15.6 | Eq: INVALID
Gen 1790 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.9 | Eq: INVALID
Gen 1800 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  15.2 | Eq: INVALID
Gen 1810 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.4 | Eq: INVALID
Gen 1820 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  20.2 | Eq: INVALID
Gen 1830 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  18.0 | Eq: INVALID
Gen 1840 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.1 | Eq: INVALID
Gen 1850 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  13.4 | Eq: INVALID
Gen 1860 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.7 | Eq: INVALID
Gen 1870 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  19.2 | Eq: INVALID
Gen 1880 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  20.8 | Eq: INVALID
Gen 1890 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  18.5 | Eq: INVALID
Gen 1900 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.7 | Eq: INVALID
Gen 1910 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.9 | Eq: INVALID
Gen 1920 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.1 | Eq: INVALID
Gen 1930 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.2 | Eq: INVALID
Gen 1940 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.5 | Eq: INVALID
Gen 1950 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.0 | Eq: INVALID
Gen 1960 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  21.0 | Eq: INVALID
Gen 1970 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.5 | Eq: INVALID
Gen 1980 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.8 | Eq: INVALID
Gen 1990 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.3 | Eq: INVALID
Gen 2000 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.6 | Eq: INVALID
Gen 2010 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.9 | Eq: INVALID
Gen 2020 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  20.6 | Eq: INVALID
Gen 2030 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  19.1 | Eq: INVALID
Gen 2040 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.1 | Eq: INVALID
Gen 2050 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.2 | Eq: INVALID
Gen 2060 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.3 | Eq: INVALID
Gen 2070 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.5 | Eq: INVALID
Gen 2080 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  3 | Thresh:  18.9 | Eq: INVALID
Gen 2090 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.7 | Eq: INVALID
Gen 2100 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  19.6 | Eq: INVALID
Gen 2110 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.5 | Eq: INVALID
Gen 2120 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.7 | Eq: INVALID
Gen 2130 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  3 | Thresh:  16.9 | Eq: INVALID
Gen 2140 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.3 | Eq: INVALID
Gen 2150 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  13.5 | Eq: INVALID
Gen 2160 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  14.7 | Eq: INVALID
Gen 2170 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.9 | Eq: INVALID
