corruption_distance,initial_MSE,minimum_MSE_ever,generation_of_minimum,final_MSE,exact_hit_ever,first_exact_hit_gen,number_of_exact_hits,exact_retained,maximum_delta_J
1,915.05444,54.64513,0,1000000000.00000,False,-1,0,False,860.40931
1,1000000000.00000,79.02309,4,1000000000.00000,False,-1,0,False,999999920.97691
1,1000000000.00000,180.40620,59,1000000000.00000,False,-1,0,False,999999819.59380
1,1000000000.00000,217.96335,228,1000000000.00000,False,-1,0,False,999999782.03665
1,245.86028,0.03500,4,261.64581,True,4,1,False,245.82528
1,803.36713,54.64513,0,1000000000.00000,False,-1,0,False,748.72199
1,240.61874,0.03500,0,1000000000.00000,True,0,1,False,240.58374
1,1000000000.00000,199.57521,124,1000000000.00000,False,-1,0,False,999999800.42479
1,1000000000.00000,0.04000,30,1000000000.00000,True,30,1,False,999999999.96000
1,1000000000.00000,190.11093,41,1000000000.00000,False,-1,0,False,999999809.88907
1,1000000000.00000,109.33556,6,1000000000.00000,False,-1,0,False,999999890.66444
1,1000000000.00000,147.49638,131,1000000000.00000,False,-1,0,False,999999852.50362
1,201.54111,0.03500,0,1000000000.00000,True,0,1,False,201.50611
1,1000000000.00000,186.40146,7,1000000000.00000,False,-1,0,False,999999813.59854
